"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.457292083E-1,-1.230441284E-1,-1.249601440E0,9.827363892E0,9.907256163E0
6.556522083E-1,-1.227447510E-1,-1.246158600E0,9.837393036E0,9.916767582E0
6.655762083E-1,-1.282832336E-1,-1.246158600E0,9.820178833E0,9.899761621E0
6.754992083E-1,-1.428030396E-1,-1.259630585E0,9.825867004E0,9.907306612E0
6.854222083E-1,-1.622625732E-1,-1.265019379E0,9.824968872E0,9.907402107E0
6.953452083E-1,-1.673519897E-1,-1.277742920E0,9.817783813E0,9.901995388E0
7.052682083E-1,-1.683998108E-1,-1.287921753E0,9.820178833E0,9.905706095E0
7.151922083E-1,-1.730401611E-1,-1.289268951E0,9.824070740E0,9.909819535E0
7.251152083E-1,-2.002835083E-1,-1.311123505E0,9.820178833E0,9.909342594E0
7.350382083E-1,-2.164498901E-1,-1.325643311E0,9.821376343E0,9.912800513E0
7.449612083E-1,-2.168989563E-1,-1.341210938E0,9.804910583E0,9.898594016E0
7.548842083E-1,-2.290237427E-1,-1.337618408E0,9.796677704E0,9.890225928E0
7.648072083E-1,-2.288740540E-1,-1.342707825E0,9.803862762E0,9.898028728E0
7.747312083E-1,-2.230361938E-1,-1.351689148E0,9.804012451E0,9.899266076E0
7.846537500E-1,-2.374063110E-1,-1.362915802E0,9.789642334E0,9.886910451E0
7.945767500E-1,-2.478845215E-1,-1.378932495E0,9.797126770E0,9.896797184E0
8.044997500E-1,-2.445913696E-1,-1.381177826E0,9.796528015E0,9.896435635E0
8.144227500E-1,-2.392025757E-1,-1.380130005E0,9.803413696E0,9.902974139E0
8.243467500E-1,-2.321672058E-1,-1.393751678E0,9.788145447E0,9.889602451E0
8.342697500E-1,-2.255809021E-1,-1.389859772E0,9.785900116E0,9.886679827E0
8.441927500E-1,-2.436932373E-1,-1.386865997E0,9.807155914E0,9.907728842E0
8.541157500E-1,-2.293231201E-1,-1.377285919E0,9.810748444E0,9.909605977E0
8.640387500E-1,-2.291734314E-1,-1.366658020E0,9.795031128E0,9.892568393E0
8.739617500E-1,-2.200424194E-1,-1.371597748E0,9.794432373E0,9.892451898E0
8.838857500E-1,-2.227368164E-1,-1.393601990E0,9.799521790E0,9.900624500E0
8.938087500E-1,-2.399510193E-1,-1.396446075E0,9.788744202E0,9.890760900E0
9.037317500E-1,-2.243833923E-1,-1.381028137E0,9.788444824E0,9.887933995E0
9.136547500E-1,-2.124082947E-1,-1.335822144E0,9.782756653E0,9.875822285E0
9.235777500E-1,-1.953437805E-1,-1.278641052E0,9.774224396E0,9.859439369E0
9.335017500E-1,-1.722917175E-1,-1.229692841E0,9.774374084E0,9.852929395E0
9.434247500E-1,-1.592687988E-1,-1.194815369E0,9.770033112E0,9.844109778E0
9.533477500E-1,-1.459465027E-1,-1.175505524E0,9.774972839E0,9.846481992E0
9.632707500E-1,-1.519340515E-1,-1.166374512E0,9.767189026E0,9.837758633E0
9.731937500E-1,-1.639091492E-1,-1.195713501E0,9.770931244E0,9.845186355E0
9.831177500E-1,-1.669029236E-1,-1.226549377E0,9.760752411E0,9.838931222E0
9.930407500E-1,-1.681004333E-1,-1.235231323E0,9.769434357E0,9.848649746E0
1.002963750E0,-1.520837402E-1,-1.254840546E0,9.768985291E0,9.850422725E0
1.012886750E0,-1.374142456E-1,-1.245559845E0,9.762398987E0,9.842496430E0
1.022809750E0,-1.434017944E-1,-1.234632568E0,9.766889648E0,9.845659707E0
1.032732750E0,-1.282832336E-1,-1.238973541E0,9.781559143E0,9.860548225E0
1.042656750E0,-1.369651794E-1,-1.246607666E0,9.780211945E0,9.860290859E0
1.052579750E0,-1.309776306E-1,-1.253792725E0,9.790390778E0,9.871215878E0
1.062502750E0,-1.387614441E-1,-1.246457977E0,9.800120544E0,9.880044277E0
1.072425750E0,-1.372645569E-1,-1.247505798E0,9.796977081E0,9.877037623E0
1.082348750E0,-1.392105103E-1,-1.251248016E0,9.808503113E0,9.888970345E0
1.092272750E0,-1.486408997E-1,-1.273401947E0,9.821226654E0,9.904551460E0
1.102195750E0,-1.468446350E-1,-1.283131714E0,9.826316071E0,9.910826296E0
1.112118750E0,-1.456471252E-1,-1.272503815E0,9.826615448E0,9.909735123E0
1.122041750E0,-1.543290710E-1,-1.268013153E0,9.830357666E0,9.913001900E0
1.131964750E0,-1.423539734E-1,-1.264270935E0,9.841135254E0,9.923033243E0
1.141887750E0,-1.401086426E-1,-1.249601440E0,9.842931519E0,9.922924724E0
1.151811750E0,-1.448986816E-1,-1.234333191E0,9.840536499E0,9.918706198E0
1.161734750E0,-1.450483704E-1,-1.227447510E0,9.822573853E0,9.900031490E0
1.171657750E0,-1.442999268E-1,-1.213676147E0,9.822124786E0,9.897876923E0
1.181580750E0,-1.303788757E-1,-1.226549377E0,9.831405487E0,9.908478989E0
1.191503750E0,-1.151106262E-1,-1.233285370E0,9.816586304E0,9.894423173E0
1.201427750E0,-1.196012878E-1,-1.233285370E0,9.820328522E0,9.898189205E0
1.211350750E0,-1.179547119E-1,-1.238075409E0,9.820927277E0,9.899361424E0
1.221273750E0,-1.139131165E-1,-1.222807159E0,9.825717316E0,9.902169172E0
1.231196750E0,-1.001417542E-1,-1.218017120E0,9.840835876E0,9.916433070E0
1.241119750E0,-1.071771240E-1,-1.249302063E0,9.846823425E0,9.926337399E0
1.251043750E0,-1.157093811E-1,-1.288370819E0,9.832004242E0,9.916733103E0
1.260966750E0,-9.879455566E-2,-1.300345917E0,9.843081207E0,9.929093993E0
1.270889750E0,-9.864486694E-2,-1.283880157E0,9.846074982E0,9.929918006E0
1.280812750E0,-8.756790161E-2,-1.264420624E0,9.842033386E0,9.923308361E0
1.290735750E0,-8.487350464E-2,-1.230291595E0,9.838440857E0,9.915429361E0
1.300658750E0,-7.873626709E-2,-1.205742645E0,9.844428406E0,9.918305569E0
1.310582750E0,-7.888595581E-2,-1.184037781E0,9.839039612E0,9.910341515E0
1.320505750E0,-8.681945801E-2,-1.163680115E0,9.826765137E0,9.895807298E0
1.330428750E0,-9.774673462E-2,-1.175505524E0,9.817783813E0,9.888389488E0
1.340351750E0,-1.065783691E-1,-1.163081360E0,9.817185059E0,9.886416928E0
1.350274750E0,-1.017883301E-1,-1.171314240E0,9.812844086E0,9.883028228E0
1.360198750E0,-1.103205872E-1,-1.188079376E0,9.811197510E0,9.883486218E0
1.370121750E0,-1.160087585E-1,-1.195114746E0,9.798024902E0,9.871324596E0
1.380044750E0,-1.050814819E-1,-1.204395447E0,9.788145447E0,9.862525123E0
1.389967750E0,-1.061293030E-1,-1.205293579E0,9.781858521E0,9.856406655E0
1.399890750E0,-9.969268799E-2,-1.196911011E0,9.780211945E0,9.853683589E0
1.409813750E0,-1.064286804E-1,-1.193468170E0,9.770332489E0,9.843530377E0
1.419737750E0,-8.816665649E-2,-1.195563812E0,9.768087158E0,9.841375560E0
1.429660750E0,-9.056167603E-2,-1.189576263E0,9.777517548E0,9.850032614E0
1.439583750E0,-9.041198730E-2,-1.180295563E0,9.778415680E0,9.849806351E0
1.449506750E0,-8.337661743E-2,-1.182690582E0,9.782756653E0,9.854340993E0
1.459429750E0,-9.190887451E-2,-1.195713501E0,9.780661011E0,9.853908251E0
1.469353750E0,-1.050814819E-1,-1.219663696E0,9.778116302E0,9.854449760E0
1.479276750E0,-1.074765015E-1,-1.247206421E0,9.780960388E0,9.860743439E0
1.489199750E0,-1.086740112E-1,-1.260379028E0,9.789941711E0,9.871338514E0
1.499122750E0,-1.202000427E-1,-1.267564087E0,9.784253540E0,9.866751446E0
1.509045750E0,-1.204994202E-1,-1.272952881E0,9.780062256E0,9.863292902E0
