"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.768414533068289E9,"2026-01-14 19:15:33.068 UTC+01:00"
"PAUSE",1.906909813749953E2,1.768414723759105E9,"2026-01-14 19:18:43.759 UTC+01:00"
