"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.139080833E-1,-1.049766998E0,-1.579814758E0,1.041489212E1,1.058620816E1
6.238310833E-1,-9.172924805E-1,-1.173559570E0,1.010967682E1,1.021881759E1
6.337540833E-1,-6.224057007E-1,-6.662644958E-1,9.867929535E0,9.909961178E0
6.436770833E-1,-2.685415649E-1,-3.085084534E-1,9.692045288E0,9.700671827E0
6.536000833E-1,-2.957849121E-1,-3.888912964E-1,9.179511108E0,9.192505064E0
6.635230833E-1,-1.601669312E-1,-4.457730103E-1,9.085057526E0,9.097397280E0
6.734460833E-1,-1.456471252E-1,-5.504054260E-1,9.459129639E0,9.476248875E0
6.833690833E-1,-3.258723450E-1,-1.084943848E0,9.444160767E0,9.511859362E0
6.932920833E-1,-6.001020813E-1,-1.338516541E0,9.442963257E0,9.556218086E0
7.032150833E-1,-7.728428650E-1,-1.548080750E0,9.763596497E0,9.915727742E0
7.131380833E-1,-7.394622803E-1,-1.551822968E0,9.765991516E0,9.916125719E0
7.230610833E-1,-8.422984314E-1,-1.374441833E0,9.585167542E0,9.719773341E0
7.329840833E-1,-7.444020081E-1,-9.972262573E-1,9.555229797E0,9.635922947E0
7.429070833E-1,-6.357279968E-1,-6.081852722E-1,9.356143799E0,9.397418060E0
7.528300833E-1,-5.141807556E-1,-1.878593445E-1,9.337283020E0,9.353316373E0
7.627530833E-1,-5.489085388E-1,9.265731812E-2,9.417665863E0,9.434103893E0
7.726760833E-1,-7.891589355E-1,-6.990463257E-2,9.472152557E0,9.505226591E0
7.825990833E-1,-7.593708801E-1,-4.213737488E-1,9.526489563E0,9.565992022E0
7.925220833E-1,-9.300160217E-1,-6.057902527E-1,9.734706573E0,9.797776467E0
8.024450833E-1,-1.022074585E0,-8.382568359E-1,9.598040771E0,9.688637553E0
8.123680833E-1,-8.271798706E-1,-1.011895752E0,9.400152283E0,9.490575456E0
8.222910833E-1,-7.605683899E-1,-1.055754547E0,9.294621735E0,9.385258394E0
8.322140833E-1,-6.942562866E-1,-8.282276917E-1,9.058263245E0,9.122504366E0
8.421370833E-1,-5.911207581E-1,-5.358856201E-1,9.036857758E0,9.072011645E0
8.520600833E-1,-9.598040771E-1,-3.098556519E-2,8.886570282E0,8.938306067E0
8.619830833E-1,-9.967771912E-1,5.876779175E-1,9.240883484E0,9.313047711E0
8.719060833E-1,-1.209933929E0,1.090781708E0,1.003842499E1,1.016974538E1
8.818290833E-1,-1.528621216E0,9.321116638E-1,1.019664597E1,1.035263753E1
8.917520833E-1,-1.641785889E0,6.391708374E-1,1.009111542E1,1.024375959E1
