"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.768415508492188E9,"2026-01-14 19:31:48.492 UTC+01:00"
"PAUSE",1.999172682500066E2,1.768415708409572E9,"2026-01-14 19:35:08.410 UTC+01:00"
