"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.768415736310134E9,"2026-01-14 19:35:36.310 UTC+01:00"
"PAUSE",1.417290525416684E2,1.768415878039269E9,"2026-01-14 19:37:58.039 UTC+01:00"
