"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.432480000E-1,2.531690057E-3,-1.184847206E-3,2.479950432E-3,3.736772885E-3
6.531710000E-1,2.995284158E-4,-7.138494402E-5,3.233779222E-3,3.248405938E-3
6.630930000E-1,7.469394477E-4,7.294286042E-4,3.562335623E-4,1.103126003E-3
6.730160000E-1,1.263834420E-4,-3.108968958E-4,-1.326626400E-3,1.368417794E-3
6.829396250E-1,-1.758852741E-4,2.619378269E-3,2.904603723E-3,3.915201264E-3
6.928616250E-1,-4.691906506E-4,-6.294753402E-4,2.783486154E-3,2.892088214E-3
7.027846250E-1,2.511944040E-4,1.770032570E-3,1.280397875E-3,2.198984458E-3
7.127066250E-1,-3.123444039E-4,-9.310003370E-4,1.490479801E-3,1.784895148E-3
7.226296250E-1,-4.609487951E-4,8.250875399E-4,1.058781520E-3,1.419246824E-3
7.325526250E-1,1.161800348E-3,1.031070016E-3,1.974238548E-4,1.565842140E-3
7.424746250E-1,3.408176824E-3,-1.694409177E-3,2.054445911E-3,4.325209790E-3
7.523976250E-1,4.863031209E-4,3.278646618E-4,1.018858282E-3,1.175609697E-3
7.623196250E-1,1.436785329E-3,1.485539600E-3,3.835683689E-3,4.357022991E-3
7.722426250E-1,1.575910836E-3,-8.545815945E-5,1.248188782E-4,1.583154386E-3
7.821646250E-1,1.113319770E-3,6.311982870E-4,1.754673664E-3,2.171813033E-3
7.920876250E-1,1.653916901E-3,-5.771154538E-4,2.199502662E-3,2.811817085E-3
8.020106250E-1,-2.710159170E-4,1.011136919E-5,1.512406860E-3,1.536530630E-3
8.119326250E-1,1.414481318E-3,2.457806841E-4,2.034177538E-3,2.489787902E-3
8.218556250E-1,-5.634484114E-4,1.466306858E-3,9.574615397E-4,1.839636517E-3
8.317776250E-1,-3.407063195E-4,-1.762328669E-3,2.503857482E-3,3.080776757E-3
8.417006250E-1,-1.309830579E-3,3.956630826E-5,-1.030157320E-3,1.666867044E-3
8.516236250E-1,2.377440687E-4,-1.474398188E-3,3.411703510E-3,3.724257389E-3
8.615456250E-1,-1.699705608E-3,-1.161742955E-3,1.638038550E-3,2.630934461E-3
8.714686250E-1,-2.884378191E-4,-1.849482767E-3,-1.306601334E-4,1.876394136E-3
8.813906250E-1,-9.728702717E-4,-6.832843646E-4,2.636896912E-3,2.892504004E-3
8.913136250E-1,1.054429216E-3,1.014296897E-3,2.371421084E-3,2.786441660E-3
9.012366250E-1,-8.960700361E-4,-3.235575743E-3,1.840919722E-3,3.828952510E-3
9.111586250E-1,5.219314480E-4,1.341877505E-3,3.361568786E-3,3.656937568E-3
9.210816250E-1,1.113685779E-3,-3.154082224E-4,1.101153903E-4,1.162713963E-3
9.310036250E-1,-2.794889268E-3,-2.124922350E-3,1.884256024E-3,3.984610618E-3
9.409266250E-1,-5.852644099E-4,2.450244501E-4,3.326982260E-4,7.164213287E-4
9.508496250E-1,-1.684754738E-3,8.055977523E-4,1.067088451E-3,2.150828684E-3
9.607716250E-1,-9.004538879E-4,7.467418909E-4,2.549936529E-3,2.805461987E-3
9.706946250E-1,-9.555784054E-4,1.922741532E-3,1.339415787E-3,2.530632280E-3
9.806166250E-1,-1.996341627E-3,2.452977002E-3,1.065110089E-3,3.337204753E-3
9.905396250E-1,-1.706096227E-3,1.032938249E-3,2.720314311E-3,3.373104759E-3
1.000462625E0,8.942141430E-4,-1.059241593E-3,-6.448562490E-4,1.528872548E-3
1.010384625E0,1.036712551E-3,-3.025038168E-3,5.373030435E-4,3.242579743E-3
1.020307625E0,1.081187394E-3,-1.193315722E-3,2.458774019E-3,2.939139036E-3
1.030229625E0,7.945962716E-5,1.924796030E-3,-3.289007582E-4,1.954310441E-3
1.040152625E0,-4.233263433E-3,6.459448487E-4,2.340918174E-3,4.880334204E-3
1.050075625E0,1.389120822E-3,-8.459780365E-4,-4.934191238E-4,1.699646413E-3
1.059997625E0,-1.830907306E-3,-2.024959773E-3,2.466733567E-4,2.741082156E-3
1.069920625E0,1.860870048E-3,1.577116549E-3,1.384128118E-3,2.804629136E-3
1.079842625E0,-2.632671967E-4,-1.811490394E-3,2.542869654E-3,3.133208123E-3
1.089765625E0,-7.225414738E-4,-1.399558969E-3,1.253474038E-3,2.012965139E-3
1.099688625E0,1.185080735E-3,5.075307563E-4,1.326977275E-3,1.850100675E-3
1.109610625E0,-1.777652535E-3,-3.707837313E-4,5.164304748E-4,1.887916721E-3
1.119533625E0,1.293771085E-3,9.831683710E-4,7.465276867E-4,1.788230202E-3
1.129455625E0,1.107671415E-4,-3.676209599E-3,6.621181965E-4,3.737002392E-3
1.139378625E0,-6.205368554E-4,-1.082290895E-3,1.962273149E-3,2.325281807E-3
1.149301625E0,-3.160315100E-5,2.018161118E-3,2.163555473E-5,2.018524499E-3
1.159223625E0,2.352458658E-3,-6.602890790E-5,4.951455630E-4,2.404909703E-3
1.169146625E0,-3.750619944E-4,2.453653142E-3,-2.576116938E-3,3.577354290E-3
1.179068625E0,1.479827915E-4,7.548220456E-4,-8.421328384E-4,1.140545021E-3
1.188991625E0,2.367924433E-3,-7.119020447E-4,4.348338116E-4,2.510567881E-3
1.198914625E0,-1.385801123E-3,7.986426353E-4,8.276500739E-4,1.800910729E-3
1.208836625E0,1.216065721E-3,6.051808596E-4,1.843364909E-3,2.289771582E-3
1.218759625E0,1.720734756E-3,-1.023873687E-3,1.685439143E-3,2.617241015E-3
1.228681625E0,1.030719141E-4,-1.647341065E-3,1.161448890E-3,2.018246746E-3
1.238604625E0,1.568677835E-4,-1.054254360E-3,1.132285688E-4,1.071858417E-3
1.248527625E0,-8.484324208E-4,6.856285036E-4,3.265345236E-3,3.442731986E-3
1.258449625E0,-1.970688347E-3,3.003377467E-3,2.458141418E-3,4.352740287E-3
1.268372625E0,6.662961678E-4,9.124269709E-4,2.681762446E-3,2.910038380E-3
1.278294625E0,1.302259043E-3,-1.042066142E-3,2.210116945E-3,2.768825991E-3
1.288217625E0,-1.483639586E-3,1.244688407E-3,1.123850700E-3,2.239079285E-3
1.298140625E0,-1.205605571E-3,-1.358939335E-4,4.292982630E-4,1.286953361E-3
1.308062625E0,1.658446039E-3,2.274812199E-3,2.427127678E-3,3.717009897E-3
1.317985625E0,4.017003230E-4,7.232548669E-4,2.128321212E-3,2.283464896E-3
1.327907625E0,-7.484925445E-4,1.140218228E-3,3.064028453E-3,3.353894610E-3
1.337830625E0,-3.716221545E-5,9.066592902E-4,3.798285034E-4,9.837081837E-4
1.347753625E0,-5.030521424E-4,3.880918026E-3,1.220752485E-3,4.099368587E-3
1.357675625E0,2.602992579E-3,-1.322003081E-4,4.949420691E-5,2.606817402E-3
1.367598625E0,-5.591710797E-4,-1.877953298E-3,8.391949814E-4,2.131579017E-3
1.377520625E0,-1.364777214E-3,-4.827231169E-4,3.411276033E-3,3.705731051E-3
1.387443625E0,8.713847492E-4,4.111481830E-4,3.565757070E-4,1.027375513E-3
1.397366625E0,-2.253049752E-4,1.603976823E-3,2.231440973E-3,2.757323484E-3
1.407288625E0,2.003112575E-3,6.629601121E-4,9.192051366E-4,2.301502592E-3
1.417211625E0,1.988997683E-3,1.062167808E-3,2.843605354E-3,3.629105075E-3
1.427133625E0,-1.115209423E-3,-6.497157738E-4,4.396075383E-4,1.363479898E-3
1.437056625E0,-1.220138045E-3,-4.384666681E-5,1.512595452E-3,1.943863262E-3
1.446979625E0,3.450493328E-3,2.170627005E-3,3.648023121E-4,4.092750485E-3
1.456901625E0,6.871973164E-4,2.688878216E-3,-1.709489152E-5,2.775355553E-3
1.466824625E0,2.756880131E-3,9.345924482E-4,-5.495200166E-4,2.962401618E-3
1.476746625E0,-5.358520430E-4,1.929020509E-4,1.933122985E-5,5.698441099E-4
1.486669625E0,1.961793983E-3,5.248691887E-4,1.161869615E-3,2.339671836E-3
1.496592625E0,2.800077200E-4,6.252713501E-4,1.436441671E-3,1.591456333E-3
1.506514625E0,1.331547159E-3,-8.975155652E-5,3.729069140E-4,1.385688545E-3
1.516437625E0,4.361923784E-4,-8.649975061E-4,-8.002156392E-4,1.256514841E-3
1.526359625E0,1.035902649E-3,-8.905921131E-4,1.741576008E-3,2.213444285E-3
1.536282625E0,-6.536067231E-4,1.001050696E-3,1.987386029E-3,2.319268737E-3
1.546205625E0,-4.927597474E-4,9.349733591E-5,-4.656796809E-4,6.844059364E-4
1.556127625E0,3.320212709E-4,9.089568630E-4,9.298166260E-4,1.342013286E-3
1.566050625E0,5.633593537E-5,-1.126283780E-3,-1.550139976E-3,1.916930576E-3
1.575972625E0,9.503591573E-4,-1.918841153E-3,7.327217609E-4,2.263186930E-3
