"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.221193750E-1,-1.359935476E0,-1.841282946E0,-1.756777816E0,2.885483614E0
7.321133750E-1,-1.203904792E0,-1.185576695E0,-2.753186048E0,3.230326959E0
7.421073750E-1,-3.707273595E-1,5.607004724E-2,-5.082406277E0,5.096217832E0
7.521013750E-1,6.770719776E-1,1.385532832E0,-7.480107926E0,7.637417252E0
7.620953750E-1,1.574506656E0,2.006499095E0,-8.637512224E0,9.006204931E0
7.720893750E-1,1.560729446E0,1.793088002E0,-8.690795562E0,9.010048195E0
7.820833750E-1,1.204829091E0,9.380573320E-1,-8.212661721E0,8.353405129E0
7.920773750E-1,5.302828181E-1,-1.169810043E-1,-7.179006141E0,7.199514816E0
8.020713750E-1,-2.931405088E-1,-7.667727242E-1,-5.931144247E0,5.987682678E0
8.120653750E-1,-8.768009506E-2,-1.016968212E0,-5.193999803E0,5.293349232E0
8.220593750E-1,9.350027465E-1,-1.074039814E0,-5.108522866E0,5.303281770E0
8.320533750E-1,1.663678741E0,-6.944564076E-1,-4.175154635E0,4.547748111E0
8.420483750E-1,2.666137379E0,-1.436222345E-1,-3.126969894E0,4.111794813E0
8.520423750E-1,3.747154822E0,3.036637428E-1,-2.120293951E0,4.316135698E0
8.620363750E-1,4.019937080E0,6.406284752E-1,4.258527160E-2,4.070885957E0
8.720303750E-1,3.939486701E0,4.013075665E-1,2.499252582E0,4.682613234E0
8.820243750E-1,3.877911428E0,-3.338891700E-2,4.124678546E0,5.661473745E0
8.920183750E-1,3.769111117E0,2.642621340E-1,5.353531142E0,6.552581840E0
9.020123750E-1,4.097062147E0,1.378498047E0,5.941993171E0,7.348024084E0
9.120063750E-1,5.554943163E0,2.447475780E0,5.198685762E0,7.992112667E0
9.220003750E-1,6.310840797E0,3.398720118E0,4.273365639E0,8.345038280E0
9.319943750E-1,6.484848087E0,3.190985211E0,4.065843278E0,8.292570343E0
9.419883750E-1,6.097819714E0,1.843339558E0,5.342089310E0,8.313797219E0
9.519823750E-1,4.863322216E0,1.327514858E0,6.257961502E0,8.035936836E0
9.619763750E-1,3.600506068E0,1.997401850E0,5.931260607E0,7.220326203E0
9.719703750E-1,2.628285721E0,3.318517662E0,5.521083106E0,6.957212371E0
9.819643750E-1,1.856382942E0,4.401853525E0,4.305895454E0,6.431423462E0
9.919583750E-1,1.477592126E0,5.117922850E0,2.371127223E0,5.830836741E0
1.001952375E0,4.430281810E-1,5.554563094E0,9.385412621E-1,5.650690651E0
1.011946375E0,-9.764714192E-1,5.592608587E0,-3.606954378E-1,5.688661393E0
1.021940375E0,-1.994314813E0,5.121590223E0,-1.307066122E0,5.649460137E0
1.031935375E0,-2.145228525E0,4.214192694E0,-1.803894680E0,5.061171949E0
1.041929375E0,-1.556527783E0,3.537211128E0,-1.918689557E0,4.314627553E0
1.051923375E0,-7.708020405E-1,3.256859942E0,-1.576454363E0,3.699524406E0
1.061917375E0,-3.466409241E-1,3.279373477E0,-8.965342802E-1,3.417341663E0
1.071911375E0,-6.063116781E-1,3.301818014E0,-1.091926593E0,3.530144435E0
1.081905375E0,-1.190418555E0,3.013724822E0,-2.176176960E0,3.903252464E0
1.091899375E0,-1.586518006E0,2.853204426E0,-3.978365423E0,5.146377981E0
1.101893375E0,-1.657557145E0,3.409519048E0,-6.135352407E0,7.212133178E0
1.111887375E0,-1.438580234E0,4.264109204E0,-8.006920422E0,9.184928690E0
1.121881375E0,-1.301581726E0,5.375856396E0,-9.662715070E0,1.113382277E1
1.131875375E0,-1.449278300E0,6.276018873E0,-1.032609280E1,1.217033331E1
1.141869375E0,-1.571254873E0,6.366786371E0,-9.807072299E0,1.179760474E1
1.151863375E0,-8.755679190E-1,5.360702752E0,-7.926832278E0,9.609288379E0
1.161857375E0,-1.002071187E0,4.130288950E0,-3.734902566E0,5.657997053E0
1.171851375E0,-1.981081687E0,3.402330774E0,8.789481944E-1,4.033991729E0
1.181845375E0,-2.398321454E0,2.575622481E0,2.479680782E0,4.305182196E0
1.191839375E0,-2.806385478E0,2.144996829E0,1.928094803E0,4.024221716E0
1.201833375E0,-3.031843589E0,2.768351972E0,1.279587132E0,4.300371078E0
1.211827375E0,-2.898098763E0,4.272380675E0,7.767376953E-1,5.220683339E0
1.221821375E0,-2.696421863E0,6.022969506E0,1.843255797E0,6.851601599E0
1.231815375E0,-1.423869955E0,6.517969056E0,4.216803768E0,7.892576276E0
1.241810375E0,-3.704993181E-2,5.302627621E0,8.509813712E0,1.002677225E1
1.251804375E0,1.656267688E-1,2.356426592E0,1.497334636E1,1.515853818E1
1.261798375E0,-1.361922360E0,-1.232845221E0,2.207014474E1,2.214646764E1
1.271792375E0,-3.094823948E0,-5.450275664E0,2.556477528E1,2.632187636E1
1.281786375E0,-4.704302216E0,-7.588838071E0,2.273251499E1,2.442310710E1
1.291780375E0,-4.455285966E0,-5.980386574E0,1.563919219E1,1.732624971E1
1.301774375E0,-2.600361173E0,-2.218036885E0,8.644563382E0,9.295700184E0
1.311768375E0,-4.841375789E-1,1.121128611E0,3.155140024E0,3.383227325E0
1.321762375E0,1.529269087E0,2.824729071E0,-1.218484898E0,3.435471396E0
1.331756375E0,2.343348125E0,3.113890842E0,-3.880194181E0,5.499409376E0
1.341750375E0,1.969594539E0,2.251791984E0,-5.213120198E0,6.010531756E0
1.351744375E0,1.409091264E0,7.767185457E-1,-5.603235902E0,5.829672586E0
1.361738375E0,7.561337154E-1,-1.156612585E0,-5.265882549E0,5.444172103E0
1.371732375E0,-3.716295118E-1,-3.060329762E0,-3.940798232E0,5.003360615E0
1.381726375E0,-1.120548055E0,-4.493827888E0,-3.220588494E0,5.641126420E0
1.391720375E0,-1.622715487E0,-5.091830819E0,-3.815413463E0,6.566378495E0
1.401714375E0,-1.630678225E0,-4.755133232E0,-5.482765133E0,7.438488894E0
1.411708375E0,-7.319296778E-1,-3.790535315E0,-7.654853135E0,8.573252332E0
1.421702375E0,2.162796996E-1,-2.660530192E0,-9.424256845E0,9.794989274E0
1.431696375E0,1.247286528E0,-1.722263749E0,-1.086774728E1,1.107383615E1
1.441690375E0,2.589198254E0,-7.863773420E-1,-1.182960022E1,1.213514641E1
1.451684375E0,3.452519180E0,-4.064933158E-2,-1.242705234E1,1.289779714E1
