"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.906782198E1,5.147784503E1,5.670679233E0,1.681802474E1,6.113644872E1,7.829999924E0,2.039065572E1,1.649294805E-1,4.608232119E0,3.548060564E0,-1.000000000E0
3.006779861E1,5.147792525E1,5.670751400E0,1.652261578E1,6.084082847E1,8.750000000E0,2.355472688E1,1.746812770E-1,4.608232281E0,3.548060354E0,-1.000000000E0
3.106777823E1,5.147800603E1,5.670806221E0,1.687222592E1,6.119021830E1,9.289999962E0,2.250004004E1,1.838123831E-1,4.608232448E0,3.548060137E0,-1.000000000E0
3.206775928E1,5.147808348E1,5.670850034E0,1.682370322E1,6.114148069E1,9.460000038E0,2.179691456E1,1.929051253E-1,4.608232615E0,3.548059920E0,-1.000000000E0
3.306774163E1,5.147815942E1,5.670898733E0,1.672391074E1,6.104147991E1,9.460000038E0,2.179691456E1,2.023555201E-1,4.608232779E0,3.548059707E0,-1.000000000E0
3.406772661E1,5.147824060E1,5.670939140E0,1.949595670E1,6.381329828E1,9.748432558E0,2.207577557E1,2.124932783E-1,4.822388362E0,3.251016383E0,-1.000000000E0
3.506771421E1,5.147832507E1,5.670994244E0,1.943857528E1,6.375568557E1,1.000039428E1,2.191567379E1,2.232846260E-1,4.823424614E0,3.249478732E0,-1.000000000E0
3.606770194E1,5.147841473E1,5.671053874E0,1.948187013E1,6.379873537E1,1.022260529E1,2.241474614E1,2.339705571E-1,4.821198103E0,3.252781254E0,-1.000000000E0
3.706769204E1,5.147850304E1,5.671114717E0,1.952939395E1,6.384601870E1,1.040985488E1,2.282677607E1,2.446374026E-1,4.821210134E0,3.252763421E0,-1.000000000E0
3.806768322E1,5.147859119E1,5.671175469E0,1.956230955E1,6.387869427E1,1.049805948E1,2.375139547E1,2.548665532E-1,4.823421516E0,3.249483330E0,-1.000000000E0
3.906767642E1,5.147867494E1,5.671236583E0,1.942127589E1,6.373743399E1,1.036654295E1,2.388296675E1,2.656753219E-1,4.823728472E0,3.249027648E0,-1.000000000E0
4.006767058E1,5.147876481E1,5.671296091E0,1.941977592E1,6.373568829E1,1.036762716E1,2.332181649E1,2.763701325E-1,4.821052086E0,3.252997666E0,-1.000000000E0
4.106766498E1,5.147885561E1,5.671346985E0,1.974220175E1,6.405786192E1,1.030410357E1,2.140386338E1,2.872798903E-1,4.813831951E0,3.263672622E0,-1.000000000E0
4.206766164E1,5.147894669E1,5.671405569E0,1.980864325E1,6.412405364E1,1.029683752E1,2.303239920E1,2.986973428E-1,4.820947553E0,3.253152582E0,-1.000000000E0
4.306765842E1,5.147904378E1,5.671459219E0,1.985225274E1,6.416739314E1,1.099182849E1,2.160636283E1,3.088636635E-1,4.831827979E0,3.236970098E0,-1.000000000E0
4.406765771E1,5.147912934E1,5.671510956E0,1.922931261E1,6.354421695E1,1.047930941E1,2.253033978E1,3.191089724E-1,4.852066868E0,3.206553311E0,-1.000000000E0
4.506765687E1,5.147921613E1,5.671560655E0,1.904968244E1,6.336434619E1,1.029872993E1,2.105094769E1,3.288216115E-1,4.838822356E0,3.226505112E0,-1.000000000E0
4.606765723E1,5.147929533E1,5.671619795E0,1.902146285E1,6.333591283E1,9.906053948E0,2.330136518E1,3.388331404E-1,4.825748251E0,3.246026933E0,-1.000000000E0
4.706765771E1,5.147937761E1,5.671678479E0,1.889396889E1,6.320819562E1,1.010575194E1,2.281617100E1,3.483320071E-1,4.821302773E0,3.252626109E0,-1.000000000E0
4.806765962E1,5.147945552E1,5.671734742E0,1.893581901E1,6.324983464E1,1.001638317E1,2.311829945E1,3.584914884E-1,4.815480314E0,3.261240007E0,-1.000000000E0
4.906766164E1,5.147954208E1,5.671781725E0,1.834960715E1,6.266338172E1,9.993911331E0,2.154821934E1,3.688951573E-1,4.813597132E0,3.264018946E0,-1.000000000E0
5.006766474E1,5.147963028E1,5.671831857E0,1.867937283E1,6.299290271E1,1.039964060E1,2.055785241E1,3.769239505E-1,4.811340014E0,3.267345146E0,-1.000000000E0
5.106766891E1,5.147969474E1,5.671884083E0,1.886692771E1,6.318028530E1,9.316204532E0,2.090081283E1,3.846104441E-1,4.758583516E0,3.343713497E0,-1.000000000E0
5.206767380E1,5.147975554E1,5.671936893E0,1.855117384E1,6.286437043E1,8.380495314E0,2.453663515E1,3.914708692E-1,4.756257890E0,3.347020752E0,-1.000000000E0
5.306767774E1,5.147981312E1,5.671972477E0,1.872846560E1,6.304150365E1,7.490751607E0,2.326772436E1,3.972718861E-1,4.753198034E0,3.351364719E0,-1.000000000E0
5.406768286E1,5.147986238E1,5.672000059E0,1.866498820E1,6.297788940E1,6.474077666E0,2.186150699E1,4.034331416E-1,4.752558033E0,3.352272241E0,-1.000000000E0
5.506768954E1,5.147989251E1,5.672074727E0,1.961586095E1,6.392870279E1,5.917906862E0,3.802152398E1,4.055928407E-1,4.751041840E0,3.354420735E0,-1.000000000E0
5.606769574E1,5.147991062E1,5.672063444E0,1.975553774E1,6.406832026E1,3.489263120E0,2.745341308E1,4.090862421E-1,4.746536413E0,3.360792929E0,-1.000000000E0
5.706770205E1,5.147990342E1,5.672112548E0,1.976415570E1,6.407698059E1,2.912831570E0,7.998059961E1,4.140946111E-1,4.743684069E0,3.364817750E0,-1.000000000E0
5.806770933E1,5.147986949E1,5.672160112E0,1.987393143E1,6.418687862E1,3.771154044E0,1.247313240E2,4.186467727E-1,4.741156308E0,3.368378526E0,-1.000000000E0
