"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.212185833E-1,7.185058594E-2,1.212478638E-1,9.840386810E0,9.841396046E0
7.312125833E-1,3.517684937E-2,5.433700562E-2,9.860145721E0,9.860358187E0
7.412065833E-1,7.723937988E-2,1.496887207E-3,9.872719574E0,9.873021825E0
7.512005834E-1,1.119671631E-1,4.730163574E-2,9.810149689E0,9.810902660E0
7.611945833E-1,1.326242065E-1,2.978805542E-2,9.836045837E0,9.836985017E0
7.711885833E-1,1.002914429E-1,1.766326904E-2,9.769584045E0,9.770114778E0
7.811825833E-1,2.739303589E-2,3.577560425E-2,9.931098175E0,9.931200392E0
7.911761667E-1,2.155517578E-2,3.562591553E-2,9.728719025E0,9.728808133E0
8.011701667E-1,1.646575928E-3,2.814147949E-2,9.893376617E0,9.893416778E0
8.111641667E-1,2.335144043E-2,-4.490661621E-3,9.790241089E0,9.790269967E0
8.211581667E-1,6.481521606E-2,1.347198486E-2,9.870174866E0,9.870396871E0
8.311521667E-1,5.313949585E-2,6.017486572E-2,9.845326538E0,9.845653836E0
8.411461667E-1,6.960525513E-2,6.601272583E-2,9.828411713E0,9.828879863E0
8.511401667E-1,8.337661743E-2,5.703140259E-2,9.845625916E0,9.846144114E0
8.611341667E-1,9.101074219E-2,4.969665527E-2,9.838740234E0,9.839286667E0
8.711271667E-1,1.007405090E-1,1.378633118E-1,9.868228912E0,9.869706014E0
8.811211667E-1,7.649093628E-2,2.501298523E-1,9.810898132E0,9.814384238E0
8.911151667E-1,4.969665527E-2,2.517764282E-1,9.829010468E0,9.832360240E0
9.011091667E-1,4.625381470E-2,1.916015625E-1,9.831854553E0,9.833830105E0
9.111031667E-1,4.326004028E-2,1.336720276E-1,9.812993774E0,9.813999514E0
9.210971667E-1,6.885681152E-3,1.053808594E-1,9.848470001E0,9.849036192E0
9.310911667E-1,3.233276367E-2,9.819580078E-2,9.850116577E0,9.850659085E0
9.410851667E-1,4.490661621E-2,6.855743408E-2,9.836195526E0,9.836536949E0
9.510791667E-1,7.454498291E-2,4.610412598E-2,9.852810974E0,9.853200832E0
9.610731667E-1,7.304809570E-2,3.263214111E-2,9.873318329E0,9.873642474E0
9.710671667E-1,3.233276367E-2,7.813751221E-2,9.841434631E0,9.841797929E0
9.810611667E-1,4.146377563E-2,9.490264893E-2,9.880503387E0,9.881046146E0
9.910551667E-1,5.269042969E-2,5.014572144E-2,9.799671478E0,9.799941426E0
1.001049167E0,8.143066406E-2,1.631607056E-2,9.886041870E0,9.886390698E0
1.011043167E0,8.532257080E-2,2.709365845E-2,9.808353424E0,9.808761945E0
1.021037167E0,3.652404785E-2,2.005828857E-2,9.828561401E0,9.828649732E0
1.031031167E0,1.362167358E-2,-8.981323242E-4,9.812544708E0,9.812554204E0
1.041024167E0,6.301895142E-2,-1.496887207E-2,9.844578094E0,9.844791177E0
1.051018167E0,1.133143616E-1,1.781295776E-2,9.845476227E0,9.846144402E0
1.061012167E0,1.523831177E-1,7.963439941E-2,9.879904633E0,9.881400599E0
1.071006167E0,1.052311707E-1,1.115180969E-1,9.802515564E0,9.803714667E0
1.081000167E0,2.859054565E-2,1.686991882E-1,9.853858795E0,9.855344235E0
1.090994167E0,3.817062378E-2,1.883084106E-1,9.839788055E0,9.841663784E0
1.100988167E0,2.903961182E-2,1.724414062E-1,9.865384827E0,9.866934535E0
1.110982167E0,6.810836792E-2,1.143621826E-1,9.870923309E0,9.871820726E0
