"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.401081667E-1,-3.676080161E-1,2.121441467E0,1.598348093E-1,2.158980481E0
6.501051667E-1,-4.771041459E-1,2.148110033E0,2.337903929E-1,2.212840489E0
6.601011667E-1,-5.422947532E-1,2.155805115E0,2.956755692E-1,2.242543943E0
6.700971667E-1,-5.064864045E-1,2.123656100E0,3.001299781E-1,2.203751736E0
6.800931667E-1,-3.321253574E-1,2.146660947E0,3.416697675E-1,2.198908525E0
6.900901667E-1,-1.349660164E-1,2.280568471E0,5.258143759E-1,2.344288620E0
7.000861667E-1,-2.628908157E-2,2.387055624E0,6.641407871E-1,2.477863727E0
7.100821667E-1,-6.632730603E-2,2.449495993E0,7.172773594E-1,2.553216940E0
7.200781667E-1,-1.564451784E-1,2.490224189E0,6.627643526E-1,2.581656095E0
7.300741667E-1,-2.633305264E-1,2.528127303E0,4.756932127E-1,2.585934001E0
7.400711667E-1,-3.124006525E-1,2.630636594E0,2.317426980E-1,2.659238187E0
7.500671667E-1,-3.294140035E-1,2.704727541E0,1.713818908E-2,2.724767582E0
7.600631667E-1,-3.825090605E-1,2.707392117E0,-1.014369124E-1,2.736160577E0
7.700591667E-1,-4.730534872E-1,2.611922288E0,-9.602356017E-2,2.656151006E0
7.800551667E-1,-5.908628958E-1,2.491246575E0,2.122129977E-2,2.560445040E0
7.900521667E-1,-7.171303019E-1,2.373511133E0,3.102000529E-1,2.498810726E0
8.000481667E-1,-7.464111114E-1,2.281297619E0,6.605283773E-1,2.489527286E0
8.100441667E-1,-5.580442286E-1,2.219288189E0,9.013167179E-1,2.459476622E0
8.200401667E-1,-2.877069837E-1,2.255568700E0,1.043560179E0,2.501875960E0
8.300361667E-1,-3.192024261E-2,2.333831343E0,1.135771354E0,2.595720364E0
8.400321667E-1,1.319661024E-1,2.312172964E0,1.197581686E0,2.607251573E0
8.500291667E-1,1.608209422E-1,2.099875766E0,1.248519706E0,2.448293909E0
8.600251667E-1,2.561168164E-2,1.822912311E0,1.382637876E0,2.288089322E0
8.700211667E-1,-1.217358139E-1,1.582655189E0,1.599129866E0,2.253182945E0
8.800171667E-1,-1.609583518E-1,1.369838028E0,1.880973846E0,2.332472170E0
8.900131667E-1,-9.877204388E-2,1.206939497E0,2.264972193E0,2.568376511E0
9.000101667E-1,2.241150051E-2,1.147370111E0,2.717771802E0,2.950126101E0
9.100061667E-1,2.341116974E-1,1.271894973E0,3.033537235E0,3.297707274E0
9.200021667E-1,4.958579206E-1,1.660539663E0,3.241944280E0,3.676067160E0
9.299981667E-1,6.612388140E-1,2.192556473E0,3.264994004E0,3.988073031E0
9.399951667E-1,6.481150308E-1,2.651192773E0,2.984984295E0,4.044626986E0
9.499911667E-1,4.375489014E-1,2.935844294E0,2.372787833E0,3.800099059E0
9.599871667E-1,2.077375388E-1,2.965592589E0,1.795150754E0,3.472817375E0
9.699831667E-1,-3.756748348E-2,2.760749714E0,1.345806264E0,3.071537856E0
9.799791667E-1,-1.292088479E-1,2.341845975E0,1.105152410E0,2.592739738E0
9.899761667E-1,-1.521153152E-2,1.846905044E0,9.033538878E-1,2.056049095E0
9.999721667E-1,2.228113684E-1,1.306677867E0,7.320790011E-1,1.514262730E0
1.009968167E0,4.352418825E-1,7.898780700E-1,8.052703536E-1,1.209050538E0
1.019964167E0,5.727748266E-1,4.082547896E-1,1.178042046E0,1.372051762E0
1.029960167E0,5.704657611E-1,1.081862804E-1,1.714354513E0,1.810012942E0
1.039957167E0,4.552779517E-1,-1.378747869E-1,2.253129827E0,2.302798620E0
1.049953167E0,3.573677874E-1,-2.399605210E-1,2.727129686E0,2.760892810E0
1.059949167E0,2.729246378E-1,-2.707694272E-1,3.013966019E0,3.038386925E0
1.069945167E0,2.431052998E-1,-2.412077321E-1,2.708801588E0,2.730363969E0
1.079941167E0,2.252718768E-1,-1.268664533E-1,2.017859504E0,2.034354810E0
1.089937167E0,2.719010827E-1,2.991910614E-3,1.289132711E0,1.317498500E0
1.099934167E0,4.656745934E-1,-1.632779240E-2,7.860540640E-1,9.137835714E-1
1.109930167E0,6.587519932E-1,-1.556720851E-1,5.436963308E-1,8.682129271E-1
1.119926167E0,8.210712844E-1,-3.056613710E-1,2.762008327E-1,9.186260544E-1
1.129922167E0,9.510724300E-1,-4.249189522E-1,-1.932539856E-1,1.059453626E0
1.139918167E0,9.724273387E-1,-5.582429973E-1,-6.960250694E-1,1.319735227E0
1.149915167E0,8.776001188E-1,-7.019123384E-1,-9.876777542E-1,1.496118393E0
1.159911167E0,1.045580392E0,-6.863806719E-1,-1.190364468E0,1.726651195E0
1.169907167E0,1.170305595E0,-8.736149490E-1,-1.772969341E0,2.297006432E0
1.179903167E0,1.143646969E0,-1.148884028E0,-2.375527838E0,2.875933832E0
1.189899167E0,1.097864440E0,-1.405747241E0,-2.775587316E0,3.299290315E0
1.199896167E0,1.002887532E0,-1.641440464E0,-3.084257737E0,3.634935486E0
1.209892167E0,9.109146300E-1,-1.850395978E0,-3.300335160E0,3.891778887E0
1.219888167E0,8.609700528E-1,-2.034841864E0,-3.448031150E0,4.095213017E0
1.229884167E0,7.690310651E-1,-2.173099132E0,-3.396173363E0,4.104602555E0
1.239880167E0,6.168648791E-1,-2.361491451E0,-3.000343176E0,3.867715518E0
1.249877167E0,4.164015689E-1,-2.601989915E0,-2.449838932E0,3.597978958E0
1.259873167E0,3.051413342E-1,-2.861723819E0,-1.902719641E0,3.450060360E0
1.269869167E0,2.410301229E-1,-3.060378293E0,-1.480365899E0,3.408151114E0
1.279865167E0,1.917872116E-1,-3.177130818E0,-1.251691820E0,3.420186396E0
1.289861167E0,2.288749310E-1,-3.234866810E0,-1.267037253E0,3.481684996E0
1.299858167E0,3.113855758E-1,-3.216545144E0,-1.364699203E0,3.507923539E0
1.309854167E0,3.225347543E-1,-3.171342367E0,-1.428600499E0,3.493184859E0
1.319850167E0,2.855259722E-1,-3.119695665E0,-1.475348403E0,3.462755988E0
1.329846167E0,1.954618943E-1,-3.106808986E0,-1.524004254E0,3.465985631E0
1.339842167E0,1.243615061E-2,-3.109034729E0,-1.473472617E0,3.440548380E0
1.349839167E0,-2.612600273E-1,-3.231200606E0,-9.802085209E-1,3.386697935E0
1.359835167E0,-5.521250921E-1,-3.415539926E0,-9.467811584E-2,3.461173074E0
1.369831167E0,-6.750259638E-1,-3.534962582E0,9.582276678E-1,3.724220827E0
1.379827167E0,-8.817963731E-1,-3.534359734E0,2.005551115E0,4.158304804E0
1.389823167E0,-1.214750281E0,-3.444537438E0,2.730101241E0,4.560033903E0
1.399820167E0,-1.625001749E0,-3.381124384E0,3.167816203E0,4.909958481E0
1.409816167E0,-1.948399844E0,-3.407683023E0,3.263309421E0,5.104679609E0
1.419812167E0,-2.058828605E0,-3.577519494E0,3.001014436E0,5.103284100E0
1.429808167E0,-1.922247003E0,-3.772571791E0,2.529459298E0,4.932088381E0
1.439804167E0,-1.617191038E0,-3.759966071E0,2.087019786E0,4.594377357E0
1.449801167E0,-1.209256530E0,-3.480000216E0,1.779103070E0,4.091199164E0
1.459797167E0,-7.968635193E-1,-2.897769565E0,1.624074088E0,3.416090831E0
1.469793167E0,-3.267488426E-1,-2.146093767E0,1.582193406E0,2.686227696E0
1.479789167E0,7.154477656E-2,-1.347988591E0,1.554808556E0,2.059034129E0
